en,meaning1,meaning,context,example1,example2,example3
head,머리,이끌다·향하다,머리 말고 이끌다·향하다,She heads the marketing team.,We headed toward the coast.,He heads a large organization.
face,얼굴,직면하다·마주하다,얼굴? 지문 직면하다,They face serious challenges ahead.,She faced her fears bravely.,The country faces an economic crisis.
hand,손,건네주다·넘기다,손 말고 건네주다,He handed her the keys.,Please hand in your report.,She handed over full control.
eye,눈,주시하다·눈여겨보다,눈 말고 주시하다,He eyed the stranger with suspicion.,She eyed the last slice of cake.,Investors are eyeing the market.
foot,발,(비용을) 부담하다,foot the bill = 비용 대다,He footed the bill for dinner.,Taxpayers foot the cost.,She footed the entire expense.
mouth,입,소리 없이 입모양으로 말하다,입 말고 입만 뻥긋,She mouthed the words silently.,He mouthed thank you across the room.,They just mouthed empty promises.
nose,코,참견하다·캐내다(nose out),코 말고 참견·캐내다,Stop nosing into my business.,Reporters nosed out the truth.,She nosed around the office.
floor,바닥,쓰러뜨리다·당황하게 하다,바닥 말고 당황시키다,The question completely floored him.,She was floored by the news.,His answer floored the judges.
pocket,주머니,(부당하게) 챙기다,주머니 말고 슬쩍 챙기다,He pocketed the extra cash.,The manager pocketed the profits.,She quietly pocketed the tip.
shoulder,어깨,(책임을) 짊어지다,어깨 말고 떠맡다,She shouldered the blame alone.,He shouldered heavy responsibilities.,They shouldered the burden together.
stomach,위,참다·견디다,위장 말고 참아내다,I can't stomach his rudeness.,She couldn't stomach the violence.,He can't stomach such blatant lies.
corner,모퉁이,궁지에 몰다·독점하다,구석 말고 몰아넣다,Reporters cornered the politician.,They cornered the market on oil.,He was cornered into agreeing.
milk,우유,최대한 이용하다·쥐어짜다,우유 말고 쥐어짜다,He milked the situation for sympathy.,They milked the joke for laughs.,She milked her fame for money.
mushroom,버섯,급증하다·우후죽순 늘다,버섯 말고 급증하다,Costs mushroomed out of control.,Small shops mushroomed across the city.,Complaints mushroomed overnight.
dog,개,따라다니며 괴롭히다,개 말고 끈질기게 괴롭히다,Bad luck dogged him all year.,Injuries dogged her career.,Scandals dogged the campaign.
