en,meaning1,meaning,context,example1,example2,example3
qualify,자격을 얻다,완화하다·단서를 달다,자격 말고 조건을 달다,She qualified her earlier statement.,He qualified his praise with a warning.,The report qualifies its claims carefully.
temper,기질·성질,완화하다·누그러뜨리다,화 말고 누그러뜨리다,She tempered her criticism with kindness.,Justice must be tempered with mercy.,He slowly tempered his anger.
arrest,체포하다,저지하다·(시선을) 사로잡다,체포 말고 멈추다·사로잡다,The drug arrests the spread of cancer.,An arresting image caught her eye.,They arrested the economic decline.
relate,관련짓다,이야기하다·공감하다(relate to),연결 말고 공감·서술,She related the whole story to us.,I can really relate to that.,He related his adventures vividly.
spare,남는·여분의,(시간·돈을) 내주다·(수고를) 덜다,여분 말고 내주다·덜다,Can you spare a few minutes?,They spared no effort at all.,She was spared the trouble.
sustain,지속하다,(피해를) 입다·(주장을) 뒷받침하다,유지 말고 입다·뒷받침,He sustained serious injuries.,The evidence sustains her claim.,They sustained heavy losses.
compromise,타협,(안전을) 손상시키다·위태롭게 하다,타협 말고 훼손하다,The leak compromised national security.,Don't compromise your health.,The data was badly compromised.
air,공기,방송하다·(의견을) 표명하다,공기 말고 방송·표명,The show airs every Friday night.,She aired her grievances openly.,They aired the debate live.
bear,곰·참다,(열매를) 맺다·(무게를) 지탱하다,참다 말고 맺다·지탱,The tree bears fruit in spring.,The pillars bear the whole roof.,Her efforts finally bore results.
draw,그리다,끌어당기다·(결론을) 이끌다·비기다,그리다 말고 끌다·비기다,The event drew a huge crowd.,They drew the wrong conclusion.,The match ended in a draw.
coin,동전,(신조어를) 만들다,동전 말고 말을 만들어내다,She coined a brand-new term.,He coined the phrase decades ago.,The word was coined recently.
tender,부드러운,제출하다·입찰하다,부드러움 말고 제출·입찰,He tendered his resignation.,They tendered a bid for the project.,She tendered a formal apology.
process,과정,가공하다·처리하다,과정 말고 처리·가공,The factory processes raw materials.,It takes time to process data.,She needs to process the news.
patient,환자,참을성 있는,환자 말고 형용사 참을성 있는,Be patient with beginners.,She remained patient throughout.,A good teacher is always patient.
minute,분,미세한·(회의) 의사록,시간 분 말고 미세한·회의록,They examined every minute detail.,The differences are truly minute.,She took the minutes of the meeting.
