en,meaning1,meaning,context,example1,example2,example3
yield,산출하다,양보하다·굴복하다,생산 말고 양보·굴복,He refused to yield to pressure.,Drivers must yield to pedestrians.,The army finally yielded.
observe,관찰하다,(규칙을) 준수하다·언급하다,보다 말고 지키다·말하다,All citizens must observe the law.,They observe traditional customs.,"It's late, she observed quietly."
entertain,즐겁게 하다,(생각을) 품다·고려하다,웃기다 말고 품다,She entertained doubts about the plan.,He entertained the idea of leaving.,They wouldn't entertain the proposal.
exercise,운동,(권리·영향력을) 행사하다,운동 말고 행사하다,Citizens exercise their right to vote.,She exercised great caution.,He exercised his authority firmly.
command,명령,지배하다·(언어를) 구사하다,명령 말고 구사·차지,She commands three languages fluently.,The hill commands a fine view.,His work commands wide respect.
exploit,착취하다,활용하다·위업,나쁜 뜻만? 잘 활용하다,They exploited the new technology fully.,She exploited every opportunity.,His daring exploits amazed everyone.
sound,소리,건전한·타당한·(수심을) 재다,소리 말고 탄탄한·재다,She always gives sound advice.,The building is structurally sound.,They sounded the depth of the lake.
capacity,용량,능력·자격(in the capacity of),용량 말고 자격·능력,He spoke in his capacity as director.,She has a great capacity for work.,They acted in an official capacity.
faculty,학부·교수진,능력·기능,대학 말고 능력·기능,She lost the faculty of speech.,His mental faculties remain sharp.,Humans have a faculty for language.
discipline,훈육,학문 분야·규율,혼내기 말고 학문 분야,Physics is a demanding discipline.,She studies several disciplines.,It's a new academic discipline.
medium,매체,중간의·수단,매체 말고 중간·수단,A medium-sized company hired her.,Language is a medium of thought.,Paint is her chosen medium.
reservation,예약,거리낌·유보,예약 말고 망설임·유보,She accepted without reservation.,He had reservations about the deal.,They expressed serious reservations.
abstract,추상적인,발췌·초록(논문 요약),추상 말고 논문 초록,Read the abstract before the paper.,She wrote a clear abstract.,The abstract summarizes the study.
compound,복합의,악화시키다·구내,섞인 말고 악화시키다,Delays compounded the problem.,Stress compounds health issues.,They live in a guarded compound.
current,현재의,해류·전류·흐름,지금 말고 흐름·전류,A strong current pulled the boat.,The electric current suddenly failed.,She swam against the current.
