en,meaning1,meaning,context,example1,example2,example3
harbor,항구,(감정·생각을) 품다,배 대는 곳 아님. 원한을 harbor,She harbored a deep resentment for years.,He harbored doubts about the plan.,They harbored hopes of returning home.
plant,식물,심다·(증거·생각을) 심어두다,식물 말고 몰래 심어두다,Someone planted false evidence at the scene.,The idea was planted in his mind.,She planted a spy in the group.
spark,불꽃,촉발하다·불러일으키다,불꽃 아님. 촉발하다,The decision sparked widespread protests.,His speech sparked a heated debate.,The photo sparked public outrage.
bridge,다리,(격차를) 메우다·잇다,강 위 다리? 격차 bridge,The program bridges the gap between rich and poor.,Music can bridge cultural differences.,We need to bridge these divisions.
root,뿌리,근본·근절하다(root out),root out = 뿌리 뽑다,The problem is rooted in poverty.,They aim to root out corruption.,Her fear was deeply rooted.
shape,모양,형성하다·좌우하다,모양 말고 좌우하다,Childhood experiences shape our personality.,The war shaped the nation's future.,Media shapes public opinion.
fuel,연료,부추기다·조장하다,기름 아님. 부추기다,Low wages fueled the workers' anger.,Rumors fueled the panic.,Success only fueled his ambition.
shadow,그림자,미행하다·드리우다,그림자 말고 미행하다,The detective shadowed the suspect for days.,Doubt shadowed her mind.,Fear shadowed his every step.
flood,홍수,쇄도하다·넘쳐나다,물난리 아님. 쇄도하다,Complaints flooded the office.,Memories flooded back to her.,The market was flooded with cheap goods.
storm,폭풍,급습하다·격노하며 나가다,날씨 폭풍 아님. 급습,Soldiers stormed the building at dawn.,She stormed out of the room.,Protesters stormed the gates.
echo,메아리,반향·그대로 되풀이하다,산울림 아님. 그대로 반복,His words echoed the leader's message.,The report echoes earlier warnings.,Her view echoes public sentiment.
seed,씨앗,(원인을) 심다·촉발하다,씨앗 말고 원인을 심다,The event seeded a lasting conflict.,Doubt was seeded in his mind.,These policies seeded future growth.
weather,날씨,(역경을) 견뎌내다,날씨 아님. 버텨내다,The company weathered the recession.,They weathered many hardships together.,She weathered the storm of criticism.
ground,땅,근거·기반을 두다,땅 말고 근거로 삼다,The theory is grounded in research.,Her fears were well grounded.,Ground your argument in facts.
surface,표면,드러나다·부상하다,겉면 아님. 드러나다,New evidence surfaced last week.,Old tensions began to surface.,Problems surfaced during testing.
