en,meaning1,meaning,context,example1,example2,example3
present,"선물, 현재의","진술하다, 제기하다","(발표할 때) ""PPT 보여줄게!"" 할 때 그 제시는 'present'야.",She will present her findings tomorrow.,The lawyer will present new evidence.,He wants to present a solution to the board.
novel,소설,"새로운, 참신한","""이 생각 레알 신상 감인데?"" → 완전 참신함!",This is a truly novel approach to teaching.,The novel method surprised everyone.,Her novel idea impressed the judges.
content,내용물,만족하는,"배부르면 텐션 올라가? ""Content!""(만족!)",She seemed perfectly content with the results.,He felt content after finishing the marathon.,They were content just to relax at home.
object,물건,반대하다,"""난 반대야(Object)!"" 법정 드라마 짤 생각하기.",I must object to this decision.,She objected strongly to the plan.,The lawyer objected during the trial.
fine,"좋은, 괜찮은",벌금,"지각해서 낸 벌금. ""Fine(좋아)?"" 아니, 지갑 털렸어.",He had to pay a fine for speeding.,The court imposed a heavy fine.,She got a fine for littering.
minute,분(시간),"아주 작은, 사소한",'마이뉴트'라고 읽음! 아주 작은 미세먼지(mini).,He noticed a minute difference in color.,There was a minute error in the report.,The details were almost too minute to see.
desert,사막,"저버리다, 버리다",친구를 사막에 버리고 혼자 도망가면 'desert'.,He would never desert his friends.,The soldiers refused to desert their post.,She felt he had deserted her in hard times.
subject,과목,~에 영향받기 쉬운,"""얘는 감기 걸리기 쉽네(subject to cold).""",The plan is subject to change.,Prices are subject to review.,The rule is subject to certain exceptions.
contract,계약,(병에) 걸리다,세균이랑 질병이 나랑 계약 맺음. (안 좋은 계약!),He contracted a serious illness abroad.,She contracted the flu last winter.,Workers may contract diseases from exposure.
conduct,"행동, 품행",지휘하다,오케스트라 지휘자. 음악을 이끄는 'conduct'.,He will conduct the orchestra tonight.,She conducts research on climate change.,The teacher conducted a small survey.
table,탁자,(안건을) 보류하다,"""이건 탁자 위에 올려두고 다음에 하자!"" (보류)",They decided to table the motion.,The committee tabled the proposal.,Let's table this discussion for now.
bear,곰,"참다, 견디다",곰처럼 무거운 걸 들고 끙끙 참는 모습 상상.,I can hardly bear the pain.,She bore the criticism silently.,He couldn't bear to watch.
produce,생산하다,(증거를) 제시하다,"경찰이 ""증거(evidence) 까봐(produce)!"" 할 때.",Please produce your evidence in court.,He produced a document to support his claim.,She produced proof of purchase.
refuse,거절하다,쓰레기,"""이 쓰레기(refuse) 갖다 버려!"" (명사로 쓰임)",The refuse was collected early morning.,Household refuse piled up outside.,They dumped the refuse illegally.
tear,눈물,찢다,(눈물은 '티어'),He began to tear the paper apart.,She tore the letter into pieces.,Don't tear the pages of the book.
