en,meaning1,meaning,context,example1,example2,example3
fine,좋은·괜찮은,벌금·벌금을 물리다,I'm fine만 알면 함정. 지문 fine=벌금,He had to pay a heavy fine for speeding.,The court fined the company millions.,Illegal parking carries a fine.
right,오른쪽·옳은,권리,right=오른쪽? 지문선 권리,Everyone has the right to free speech.,Voting is a basic civil right.,They fought for equal rights.
interest,관심,이자,관심만 알면 반토막. 은행 지문 interest=이자,The loan carries a high interest rate.,She earns interest on her savings.,Interest rates rose sharply last year.
charge,충전·돌격,책임·요금·기소하다,"in charge, 요금, 기소… 다 charge",She is in charge of the whole team.,There is no charge for delivery.,He was charged with theft.
order,명령·주문,질서·순서,주문만? 지문 order=질서·순서,The teacher restored order in the class.,List the events in chronological order.,Society depends on law and order.
state,상태,국가·공식적으로 진술하다,상태 말고 진술하다·국가,The witness stated the facts clearly.,The state provides free education.,Please state your name and age.
company,회사,함께 있음·동석,회사만? 누구와 함께도 company,I really enjoy your company.,She kept me company all night.,He is good company at dinner.
matter,문제·물질,중요하다,matter가 동사 중요하다로 나오면?,Your opinion really matters to me.,Nothing else matters right now.,It doesn't matter what they think.
object,물체,반대하다·목적,object 동사 반대하다 (əbˈdʒekt),Many residents object to the new plan.,I object to being treated this way.,No one objected to the proposal.
present,선물,제시하다·참석한,선물 말고 제시하다·참석한,She presented her findings to the board.,All members were present at the meeting.,He presented a strong argument.
content,내용물,만족한,content가 형용사 만족한 (kənˈtent),She felt content with her simple life.,He was content to stay home.,They seemed content with the result.
subject,과목·주제,대상·~하기 쉬운(subject to),subject to = ~의 대상인,Prices are subject to change without notice.,He was subject to strict rules.,The plan is subject to approval.
figure,숫자·인물,이해하다·알아내다(figure out),figure out = 알아내다,I can't figure out this problem.,She figured he was lying.,Let me figure out the cost.
rest,휴식,나머지,the rest = 나머지,The rest of the class stayed quiet.,Keep one and give away the rest.,She spent the rest of her life abroad.
count,세다,중요하다·의지하다(count on),count on = 믿다 / count = 중요하다,Every vote counts in an election.,You can always count on me.,What counts is your effort.
